789,ganz langsam
790,wenig langsam 
791,noch langsam
792,langsam
793,mittelschnell
794,schnell
795,noch schneller
796,wenig schnell
797,ganz schnell
798,ganz langsam
799,wenig langsam 
800,noch langsam
801,langsam
802,mittelschnell
803,schnell
804,noch schneller
805,wenig schnell
806,ganz schnell
807,ganz langsam
808,wenig langsam 
809,noch langsam
810,langsam
811,mittelschnell
812,schnell
813,noch schneller
814,wenig schnell
815,ganz schnell
816,ganz langsam
817,wenig langsam 
818,noch langsam
